text,category
" Кстати, многие сходятся во мнении, что «Краткий курс» отлично подходит тем, у кого есть опыт промышленного программирования на других языках",edu_data
" только вопрос он нас любит ли? как только получил первый аванс начались ссоры хотя я не соорилась с ним, что с пьяным разговаривать",not_edu_data
" Для участия и получения уведомлений о событиях, заполните, пожалуйста, форму регистрации:  1",edu_data
"  Начать свой уникальный путь в программировании:  вам удобнее не смотреть, а слушать контент, который выходит на видеоплатформах Хекслета, подписывайтесь на наш подкаст",edu_data
 В то время когда муж Ксении оставался в Москве и ставил спектакли,not_edu_data
 Мы хотим поддержать их творчество — для этого запускаем программу поддержки от Клипов ВКонтакте с призовым фондом в 100 млн рублей,not_edu_data
" В нём можно оценить уровень защиты своего аккаунта и узнать, как её усилить",not_edu_data
Да будет пир с доставкой на дом! У вас хорошая стратегия выборки — проект идет вверх,edu_data
 Бутстрап,edu_data
" Если вам повезло оказаться в хорошем месте, постарайтесь усвоить как можно больше таких знаний",edu_data
,not_edu_data
" С радостью бы ушла, но у нас 2 детей и идти мне не куда",not_edu_data
 С 26 января по 4 февраля всем зарегистрированным мы предложим решить несколько задач по каждой теме и сформулировать вопросы,edu_data
 Больше подробностей найдёте здесь:  тема ВКонтакте теперь на всех платформах! Одна из самых востребованных нашими пользователями функций появилась в версии ВКонтакте для компьютеров — на сайте vk,not_edu_data
" Если вы тоже хотите поучаствовать в программе, заполните анкету: ",not_edu_data
 Летом их станет больше трёх сотен,edu_data
"  отслеживал свое настроение более 1000 дней: анализ данныхПять-десять секунд, которые автору нужны были каждую ночь, чтобы следить за своим настроением, стали ежедневной медитацией",edu_data
" Так вот, я знакомилась с парнями по сети, отправляла им свои в хлам отфотошопленные фотки, где я худышка, и спрашивала: ""Я толстая?"" Конечно, все до одного говорили: ""Нет, ты что! Такая стройняша!"" Я успокаивалась и со спокойной душой дальше жрала один шоколад, чипсы и фастфуд",not_edu_data
 Очень часто именно этим чувством описывают синдром самозванца,edu_data
,not_edu_data
 А ещё вы можете отправить валентинку в 2023-й — уже не скрывая чувств!📌 Ищете пару? Заглядывайте в [ Знакомства],not_edu_data
"Как устроена работа программистов в компании Doumo  Рассказываем, как устроена работа разработчиков в IT-компании Doumo, с какими технологиями они работают и какие продукты развивают",edu_data
" Сначала можно на месяц, не забирая документы, как на больничный",not_edu_data
" Сегодня делимся списком тем и персон, о которых чаще всего говорили пользователи ВКонтакте",not_edu_data
 Часть 1,edu_data
" Если вы хотите глубже погрузиться в тему инфобеза, напоминаем, что сейчас у вас есть возможность поступить в нашу Школу информационной безопасности",edu_data
2,edu_data
" Александр делится мыслями о том, какой путь прошёл PostgreSQL и какие изменения можно в нём реализовать, чтобы открыть новые горизонты расширяемости",edu_data
" Будет и практика: вы напишете простейшую программу и разберётесь, как её скомпилировать и запустить",edu_data
" Тут же добавила: ""Он ещё и дрожит""",not_edu_data
Я работаю на дому,not_edu_data
"приезжала к нему , они мило общались , и если бы я рано не приехала , они бы точно пересыпали ",not_edu_data
 Это было в девятом классе,not_edu_data
" Книга подойдёт множеству специалистов, включая разработчиков",edu_data
" Начались, скандалы",not_edu_data
" аналитика Big Data и искусственный интеллект могут помочь увеличить популяцию пчелПравдивость популярного утверждения, часто приписываемого Альберту Эйнштейну, о том, что человечество сможет прожить только четыре года, если все пчелы в мире исчезнут, трудно опровергнуть",edu_data
"Заодно в нём появились функции, привычные для мессенджеров",not_edu_data
 Мы снимаем двушку,not_edu_data
,not_edu_data
js  Objection,edu_data
 Магия начинается уже в нижнем меню,not_edu_data
 — Node,edu_data
 Сейчас он руководит командой разработки вычислительной платформы DataSphere в Яндекс,edu_data
,not_edu_data
,not_edu_data
 Настоящая классика с превосходными иллюстрациями от автора,edu_data
" Грэхем, Орен Паташник— Апология математики | Владимир Успенский— Геометрии | Алексей Сосинский— Что такое математика? | Рихард Курант, Герберт Роббинс— Математический дивертисмент | Дмитрий Фукс, Сергей Табачников— Математическая прогулка с осмотром особенностей | Этьен Жис— Комбинаторика | Наум Виленкин, Александр Виленкин, Павел Виленкин— Математические методы классической механики | Владимир Арнольд— Контрпримеры в анализе | Бернард Гелбаум, Джон Олмстед— Доказуемое и недоказуемое | Юрий Манин— Вычислимое и невычислимое | Юрий Манин— Алгебра и теория чисел для математических школ | Надежда Алфутова, Алексей Устинов— Тридцать три миниатюры",edu_data
 Барашев преподаёт в Computer Science Center уже восемь лет,edu_data
" Загляните вместе с нами в питерский офис Яндекса и познакомьтесь с историей Василия!Приглашаем всех желающих 13 и 20 февраля на «CS центр: тест-драйв» — четыре занятия по дискретной математике, теории вероятностей, алгоритмам и программированию",edu_data
"Практически каждому разработчику может показаться, что он не достоин той работы, которой занимается",edu_data
" Название вновь играет с нами злую шутку: автор пишет не столько про код, сколько про устройство компьютеров, обращаясь к истокам — тому, как они были устроены десятки лет назад",edu_data
 разработчики не сразу понимают старших товарищей,edu_data
 Рассказываем по секрету для самых внимательных: на игровом поле спрятаны бесплатные наборы стикеров,not_edu_data
2,edu_data
" Будто долго спишь, а потом просыпаешься",not_edu_data
" Но особых результатов это не давало, да и мы с мужем внимания этому не уделяли",not_edu_data
 Основные алгоритмы | Дональд Э,edu_data
"Анонимно пожалуйста, 8 лет брака, изменял, теперь дошло до того что в наглую уезжает на машине к бабе, нафуфыривается при мне, а я остаюсь ночевать одна без него с 2 детьми",not_edu_data
" Причин может быть масса, но среди них выделяется группа, связанная с когнитивными искажениями",edu_data
"ВКонтакте становится большеТеперь бренд VK объединяет ещё больше сервисов: [club39554210|Почту], [club137839839|Юлу], [club17700656|Delivery Club], [club66669811|Skillbox], [club90274300|Ситимобил], [club182144558|Самокат] и другие",not_edu_data
 Чувствую напряжение между нами,not_edu_data
"Встретились, всё было отлично",not_edu_data
 Мы начали обсуждать,not_edu_data
"Вы по-прежнему можете выбирать внешний вид сообщений только для своего устройства, он будет отображаться в тех чатах, где администраторы не устанавливали оформление",not_edu_data
 Времена пошли… недешевые,not_edu_data
" «Учитесь учиться» у Скотта Янга, и необходимость освоить новую область перестанет быть неподъёмной задачей",edu_data
 Отбирает такие паблики наша музыкальная редакция,not_edu_data
" Редакторы исследуют красоту в самом широком смысле и рассказывают о выдающихся архитекторах и скульпторах, аниматорах и мастерах ландшафтного дизайна, иконах стиля и талантливых кондитерах (!)",edu_data
 Регистрация:  – наш выпускник и преподаватель курса «Математическая статистика»,edu_data
" В материалах первого семестра разбираются классификация, кластеризация, регрессия и понижение размерности, а в лекциях второго — обучение без учителя, рекомендательные системы, трансформеры и алгоритмы прогнозирования",edu_data
Потом мы долгое время не общались,not_edu_data
✓ Когда: 21 марта — 30 апреля,edu_data
 Горький дружил лично с Лениным и подарил ему и его сотоварищам 10-ки тысяч рублей,not_edu_data
" В конце автор устраивает виртуальную дискуссию о том, что делать с полученной информацией: хотя многие ситуации выдуманы и абстрактны, выводы и лайфхаки порадуют вас конкретикой",edu_data
" Но я сама была в недоумении, ведь мы с мужем так любим друг друга, но мысль о сексе, меня сразу начинало выбешивать",not_edu_data
 И пох ему на меня ,not_edu_data
"Слушайте наших экспертов, общайтесь с единомышленниками, хорошо проводите время и, главное, не забудьте зарегистрироваться:  обучение и интеллектуальный анализ: от информационного поиска к распознаванию речиИнтернет-магазины, социальные сети, мобильные приложения и стриминговые сервисы генерируют огромные объёмы данных, которые невозможно проанализировать классическими инструментами статистики",edu_data
" В ней Илья сравнивает интернет и поисковые системы с чудесами света, размышляет о поисковых технологиях и вспоминает их историю",edu_data
 Комбинаторные алгоритмы,edu_data
,not_edu_data
" Но, увы и ах, чуда не произошло",not_edu_data
,not_edu_data
  До рождения близнецов у Эшли уже был один ребенок,not_edu_data
" Наверное лучше оставить его в покое, не писать лучше",not_edu_data
" Могу потратить целый день или ночь, сочиняя и затем обсуждая текст в инете со случайными незнакомками в чатах",not_edu_data
На собеседовании в CS центр все поступающие решают по три небольших задачи в течение 30 минут,edu_data
" В обычное время она вроде норм, с сыном сидит, меня отпускает гулять",not_edu_data
4,edu_data
" Не обойтись без них и в работе над учебными проектами, курсовыми и дипломами",edu_data
Я не представляю чтоб меня и трогал другой мужчина,not_edu_data
к,not_edu_data
" С дочерью когда он, это вообще, даже лишний раз написать ему ничего нельзя, игнорит",not_edu_data
" Но ,обида не отпускает(( как вспомню,так за себя,ту,15 лет назад,так обидно,за ту девчонку,которая,на такие поступки была готова,и что я творила,что б этого дебила не отпускать,до сих пор сдыдно(((вспоминать страшно( мой муж,мы уже 11 лет в браке,вроде все должна забыть о прошлом,а как выпью и если кто то спросит,все,печаль в глазах и слёзы) сама себя бешу,но что это такое???Клуб распродаж Чики Рики — 9 лет в России! Присоединяйтесь, чтобы сравнив цены с маркетплейсами и обычными магазинами, покупать классные вещи с выгодой",not_edu_data
 А ещё видео с мобильных устройств можно смотреть на экране компьютера или телевизора — всё благодаря стримингу на сетевые видеоплееры Chromecast и AirPlay,not_edu_data
" Сначала она начала им готовить: то кашу сделает, то блины напечёт (хотя дома блины — редкое явление) или суп какой-нибудь сварит, приберется",not_edu_data
"— Кому нужна математика? Нелли Литвак и Андрей РайгородскийПервые две книги были посвящены непосредственной генерации идей о том, как применять математику",edu_data
" Сейчас Антон, как начинающий учёный, пишет в LaTeX статьи и презентации, пропагандируя этот инструмент среди новых студентов",edu_data
Ссылка:  ПРОШУ!Жизнь превратилась в какую то непролазную ж*пу,not_edu_data
" Вы узнаете, как язык упрощает работу с кодом в классических условиях монорепозитория, как одновременно поддерживать и обновлять сотни тысяч TS-файлов и какие плюсы даёт единая библиотека и система сборки",edu_data
" Мы живём в деревне и у нас полный двор живности, огород этим я и отвлекаюсь",not_edu_data
"htmЕсли вы знакомы с языком C, то знаете, сколько усилий требуется, чтобы сравнить два файла",edu_data
" Идти к подругам не хочу, выносить ссор из избы",not_edu_data
 Думаю ладно выйду на работу сама все куплю и сделаю ремонт,not_edu_data
 Более подробно здесь  зовут Яна Снеткова,not_edu_data
" На этой почве произошла очередная ссора, после которой муж позвонил родителям и попросил их со мной поговорить",not_edu_data
" А в итоге, когда Андрей выходил к доске он постоянно путал строчки, не мог вспомнить слова, терялся и все забывал",not_edu_data
" Для всех ты какой-то «не такой», а ты просто дальновидный",not_edu_data
" Он из соседнего города, 100 км от меня",not_edu_data
 Как жить дальше,not_edu_data
" Тоже хотите монетизировать своё творчество ВКонтакте? В карточках мы рассказали, как заработать на платформе",not_edu_data
"—--------------------------------Смотрите лекции и разборы задач, чтобы подойти к контестам, как наш участник — уверенными и подготовленными! Все записанные материалы мы собрали и опубликовали по ссылке: ! 3 февраля топовые спикеры расскажут про задачу IDAO этого года⚡Открываем новый факультет на Физтехе!Высшая школа программной инженерии МФТИ и Яндекса будет готовить бэкенд-, фронтенд-, фуллстек-разработчиков, а также архитекторов программного обеспечения",edu_data
" В статье разбираются ключевые метрики, чтение информации из App Metrics и настройка системы мониторинга Prometheus",edu_data
 Был абьюзером,not_edu_data
" Вообщем, про этот случай договорились не вспоминать больше, зато теперь знаю что муж еще тот ревнивец)Больше никаких экспериментов с третьими лицами)Научитесь расслабляться и отдыхать! Начните жить легко и непринужденно!Любите и цените себя!пройдите 1-минутный тест -  силу медитации -  вообще-давайте откровенно ",not_edu_data
" Было как то пару раз, но мне было дискомфортно",not_edu_data
" Готовьте свои вопросы, у вас будет возможность их задать! • 20 октября в 18:30 (мск)Три опытных PM-а из зарубежных IT-компаний расскажут о своих карьерных траекториях и задачах, которые они ежедневно решают",edu_data
,not_edu_data
 Дифференциальные уравнения,edu_data
"Ещё больше полезных статей об обучении можно найти в нашем блоге:  2010 году разработчики начали чувствовать, что возможностей последней ECMAScript не хватает: код постоянно падает с ошибками, чаще всего они связаны с типами данных",edu_data
Подавайте заявки и делитесь информацией о премии со своими друзьями и коллегами! Успеть нужно до 20 марта:  1 февраля стартует отборочный онлайн-этап международной олимпиады по анализу данных IDAO 2022 — успейте присоединиться к соревнованию,edu_data
"Впервые ВКонтакте, давно не заходили или просто не следили за обновлениями? Мы рады встрече! Рассказываем, сколько всего вас ждёт",not_edu_data
Сотен моих клиентов,not_edu_data
" Как оказалось, процентов платить никаких не надо, т",not_edu_data
4,edu_data
"А тех, кто уже выбрал Go своей специализацией, приглашаем на вебинар в формате открытых собеседований с обратной связью и советами для начинающих",edu_data
 Пирогова д,edu_data
" Я мужу говорю, что бы научил ребенка, если он такой умный, а ему лишь бы меня упрекнуть",not_edu_data
" Все это время я как семейный психолог помогала ему разобраться в семье , советовала постоянно как лучше ",not_edu_data
 Анон,not_edu_data
" Формат встречи подразумевает не только презентацию CS центра, но и диалог с абитуриентами, во время которого мы ответим на все интересующие вопросы",edu_data
" Суть проблемы в том, что она не любит секс, тоесть может без него спокойно обходиться неделю, две",not_edu_data
" Автор уделяет особое внимание проектированию и подчёркивает, что это важнейший этап разработки, поскольку от него зависит продуктивность всего дальнейшего развития сервиса",edu_data
" На мой взгляд, такие встречи — едва ли не самые полезные для развития команды",edu_data
"Где почитать о том, как быть менеджером, не будучи руководителем? Книг, где это учитывается, очень мало",edu_data
 Вернёмся назад,not_edu_data
" Что будет на картинке — любимый питомец, красивый пейзаж или что-то абстрактное? Решайте сами",not_edu_data
может хоть немного станет легче,not_edu_data
#frontend@yandex,edu_data
 Не хочу быть женой декабриста + он виновен в том случае,not_edu_data
" Если вы получаете обратной связи меньше, чем нужно, эта потребность заполнится вашими представлениями о том, что же они думают",edu_data
" Посмотрите, какие сервисы и функции вы ещё не попробовали:  уже четвёртый год мы поддерживаем добрые традиции — создаём особенный подарок и все средства от его продажи направляем на благотворительность",not_edu_data
" В скором времени мы вернёмся с анонсами новых запусков, не пропустите!Сегодня, 22 февраля в 18:30 МСК, продолжаем изучать математическую статистику вместе с Максимом Николаевым",edu_data
 Вот один из них: «Никогда не меняйте context»,edu_data
 Для продуктивного чтения нужен математический бэкграунд,edu_data
"— Learning JavaScript Design Patterns | Addy OsmaniСреди наших читателей много разработчиков интерфейсов, а также тех, кто реализовывает внутреннюю логику приложений на фронтенд-стеке",edu_data
,not_edu_data
 Бросает в холод от страха перед таким открытием,not_edu_data
 Или другой пример,edu_data
 Приемная кампания начнется летом 2022 года,edu_data
" Если помогло нам, то вам уж точно поможетПока что доступ бесплатный, но скоро собираются сделать платным, так что успевайте:",not_edu_data
"Мы собрали звёзд, блогеров и даже космонавтов, чтобы поздравить вас",not_edu_data
"Есть хорошие примеры в жизни, а есть как у меня — поторопился и вся жизнь коту под хвост",not_edu_data
" Часто — через боль и неприятие обществом: лишь спустя время приходит осознание, что это действительно был прорыв, который «поменял всё» (или многое) в какой-нибудь области",edu_data
" Всегда переживает за моих детей, когда мой муж пьяный",not_edu_data
" Определяем проблему и ищем пути её решения вместе с психологом Еленой Миноходовой! 🧘‍♂В рамках открытых лекций проекта Лицей++ Иван Черевко расскажет о том, как работают команды в IT-компаниях и зачем нам всем проектный менеджмент 🙌🏻Если вы оказывались в ситуации, когда уже 11 вечера, а половина кода не отревьюена, баг не исправлен и YouTube не посмотрен, то вы наверняка задумывались о том, в какой момент всё пошло не так и как этого можно было избежать",edu_data
" Такое распределение позволяет, например, стать менеджером на раннем этапе карьеры, когда занять должность руководителя ещё очень сложно",edu_data
" Секс с ним я ненавидела, и за всю свою семейную жизнь могу пересчитать его по пальцам",not_edu_data
" Эти инструменты помогут вам с аналитикой данных, обслуживанием баз данных, выполнением задач машинного обучения и, наконец, помогут вам создать отчет",edu_data
 Завтра увижу его в первый раз года за четыре,not_edu_data
 Делимся с вами советами и полезными материалами,edu_data
   #hexlet_habrИстории успеха бывают разные,edu_data
 🎄 Звоните Деду Морозу — связаться с ним поможет Маруся,not_edu_data
" Смотрите сами:  вас ждёт ещё больше оригинального контента, любимых фильмов, шоу и сериалов — бесплатно и в качестве 4К",not_edu_data
"Чувствую что начинаю его ненавидеть, но умом понимаю что он то тут ни при чем",not_edu_data
Открываем с другом своё дело,not_edu_data
"Net: самые читаемые статьи о программировании на Medium в февралеhttp:// решить задачу, если непонятно, с чего вообще начать: советы от ХекслетаВсе сталкиваются с трудностями при изучении нового, особенно при решении задач, которые отличаются от всего, что мы знали до этого",edu_data
"Администраторы смогут увеличить свой доход, если будут привлекать аудиторию с внешних ресурсов",not_edu_data
 Живем в его квартире,not_edu_data
